delta,EKF,UKF,CKF,IDEKF
0.1,23.693657610662658,30.941046726692754,26.401201338294346,0.4967728689792591
0.2,23.763370664145974,30.15309573496224,23.686512585753743,1.255276604815617
0.3,23.330163427658242,3.3712271095194204,4.311882289433571,0.08422918635928064
0.4,20.874953685871542,0.8842828387697897,0.8849122712469191,3.0538911337624293
0.5,25.751747389474485,1.4837442846711208,1.482567705998486,0.322837233966643
0.6,0.07895887320521525,0.11599717816497443,0.11599717816500377,0.07895887320106688
0.7,0.11516644921562194,1.4183444474716826,1.4176228902795822,0.11516644921299594
0.8,0.10294718828053868,1.1287724741394007,1.1280505124113658,0.1029471882786092
0.9,37.172059078263466,1.8925756016352762,1.8932986039976434,0.031883551157315525
1.0,37.06157052952271,1.781068358568636,1.7817915375293674,0.03444836152484247
