delta,EKF,UKF,CKF,IDEKF
0.1,0.0002700378233599909,0.00027003782875400476,0.00027003782875400476,0.0002700378233599909
0.2,0.00021312094012690768,0.00021312094438401843,0.00021312094438400507,0.00021312094012690768
0.3,0.0003521049527635645,0.00035210495979687165,0.0003521049597968719,0.0003521049527635645
0.4,0.0002356362010871151,0.00023563620579395556,0.00023563620579395553,0.0002356362010871151
0.5,0.00028768424467369474,0.00028768425042019637,0.0002876842504201965,0.00028768424467369474
