delta,EKF,UKF,CKF,IDEKF
0.1,0.1481966824858012,0.15165029860011617,0.15165029860005433,0.14819668248579573
0.2,0.13480602138891018,0.132538556169679,0.13253855616965257,0.134806021388904
0.3,1.7171414397912987,1.0980718098235285,1.0980677207670324,1.7142241580315256
0.4,0.15632133091408726,1.3432415914880191,1.3432460106132071,0.15632133091408013
0.5,2.006471444709798,1.1704778914761018,1.170474602373399,2.006471428517763
0.6,0.03539914301298032,0.032924339791166116,0.032924339792002905,0.03539914301298038
0.7,0.1679650349447642,1.47810272519969,1.478100207415535,0.1679650349447642
0.8,0.3177289860408538,1.465511483362252,1.4655089567089705,0.3177289860408535
0.9,2.568657468324264,1.4839691114185494,1.4839665802191166,2.5686574683289063
1.0,2.671243568029255,1.387157889638455,1.3871553586658474,2.6712435680310738
