delta,EKF,UKF,CKF
0.1,0.00023139626731330176,0.0002313962719354493,0.0002313962719354494
0.2,0.00021843168398354517,0.0002184316883467248,0.0002184316883467248
0.3,0.0002502479342044516,0.00025024793920316174,0.00025024793920316174
0.4,0.0002596716214959782,0.00025967162668292685,0.0002596716266829269
0.5,9.063732015422364e-05,9.063732196470696e-05,9.063732196470704e-05
0.1,0.000231396268352543,0.00023139627297469057,0.00023139627297469063,0.00023139626835254348
0.2,0.0002184316830682816,0.00021843168743146122,0.0002184316874314612,0.00021843168306828205
0.3,0.0002502479343806971,0.00025024793937940726,0.0002502479393794072,0.00025024793438069775
0.4,0.00025967162149292055,0.0002596716266798692,0.0002596716266798692,0.00025967162149292055
0.5,9.063732014616772e-05,9.063732195665103e-05,9.0637321956651e-05,9.063732014616773e-05
0.5,0.0002763013839527505,0.0002763013894718791,0.00027630138947187913,0.0002763013839527505
0.5,0.0002763013839527505,0.0002763013894718791,0.00027630138947187913,0.0002763013839527505
0.1,0.000231396268352543,0.00023139627297469057,0.00023139627297469063,0.00023139626835254348
0.2,0.0002184316830682816,0.00021843168743146122,0.0002184316874314612,0.00021843168306828205
0.3,0.0002502479343806971,0.00025024793937940726,0.0002502479393794072,0.00025024793438069775
0.4,0.00025967162149292055,0.0002596716266798692,0.0002596716266798692,0.00025967162149292055
0.5,9.063732014616772e-05,9.063732195665103e-05,9.0637321956651e-05,9.063732014616773e-05
0.1,0.08407445507968668,0.1361460263573042,0.13614602635728246,0.08407454595449558
0.2,0.11680939201569578,0.1478894803487335,0.14788948034873597,0.11680946787641955
0.3,0.13172790583122465,0.17809880861428173,0.17809880861428556,0.13172809380442385
0.4,0.1550413870457816,0.18992116872819886,0.18992116872820827,0.1550415120289826
0.5,0.055325055343314,0.06759144732429888,0.06759144732431009,0.055325118530060564
0.1,0.000231396268352543,0.00023139627297469057,0.00023139627297469063,0.00023139626835254348
0.2,0.0002184316830682816,0.00021843168743146122,0.0002184316874314612,0.00021843168306828205
0.3,0.0002502479343806971,0.00025024793937940726,0.0002502479393794072,0.00025024793438069775
0.4,0.00025967162149292055,0.0002596716266798692,0.0002596716266798692,0.00025967162149292055
0.5,9.063732014616772e-05,9.063732195665103e-05,9.0637321956651e-05,9.063732014616773e-05
0.1,0.000231396268352543,0.00023139627297469057,0.00023139627297469063,0.00023139626835254348
0.2,0.0002184316830682816,0.00021843168743146122,0.0002184316874314612,0.00021843168306828205
0.3,0.0002502479343806971,0.00025024793937940726,0.0002502479393794072,0.00025024793438069775
0.4,0.00025967162149292055,0.0002596716266798692,0.0002596716266798692,0.00025967162149292055
0.5,9.063732014616772e-05,9.063732195665103e-05,9.0637321956651e-05,9.063732014616773e-05
0.1,0.08407445507968668,0.1361460263573042,0.13614602635728246,0.08407454595449558
0.2,0.11680939201569578,0.1478894803487335,0.14788948034873597,0.11680946787641955
0.3,0.13172790583122465,0.17809880861428173,0.17809880861428556,0.13172809380442385
0.4,0.1550413870457816,0.18992116872819886,0.18992116872820827,0.1550415120289826
0.5,0.055325055343314,0.06759144732429888,0.06759144732431009,0.055325118530060564
0.1,0.08407445507968668,0.1361460263573042,0.13614602635728246,0.08407454595449558
0.2,0.11680939201569578,0.1478894803487335,0.14788948034873597,0.11680946787641955
0.3,0.13172790583122465,0.17809880861428173,0.17809880861428556,0.13172809380442385
0.4,0.1550413870457816,0.18992116872819886,0.18992116872820827,0.1550415120289826
0.5,0.055325055343314,0.06759144732429888,0.06759144732431009,0.055325118530060564
0.1,0.10551365842934494,0.15939055470598612,0.15939055470591168,0.10551365842934508
0.3,0.1292610467648443,0.17060881250888776,0.17060881250889862,0.12926104676484534
0.5,0.2013351648326177,0.24544825253794447,0.24544825253794345,0.20133516483261768
0.1,0.0002700378242925203,0.0002700378296865341,0.00027003782968653426,0.0002700378242925203
0.3,0.00024004176783099098,0.00024004177262583275,0.00024004177262583283,0.00024004176783099098
0.5,0.00033073584131560846,0.00033073584792206717,0.00033073584792206706,0.00033073584131560846
0.1,0.10551365842934494,0.15939055470598612,0.15939055470591168,0.10551365842934508
0.3,0.1292610467648443,0.17060881250888776,0.17060881250889862,0.12926104676484534
0.5,0.2013351648326177,0.24544825253794447,0.24544825253794345,0.20133516483261768
