delta,EKF,UKF,CKF,IDEKF
0.1,25.372821528120777,42.86430377580933,33.85626026511835,0.06937918293313672
0.2,31.157794865691947,28.555848852097032,41.75384387513343,2.9305770873129404
0.3,25.43583282529104,1.2245290365776027,1.224520802823754,0.06819835906836542
0.4,21.009631091445506,1.0798984214098242,1.0802490157728737,2.649531693931874
0.5,38.74325481623305,1.4789802348364587,1.4783922617448884,0.017591224093178273
0.6,0.1850226614900584,0.17498473333117223,0.17498473333118222,0.18502266148346008
0.7,0.20319494080905248,1.5748169473692464,1.5740974392722271,0.20319494080516168
0.8,0.0686507954296794,1.0845728321260721,1.0838495056543505,0.06865079542835777
0.9,37.240501038139044,1.959842254647588,1.9605659399927522,0.027353762281370892
1.0,37.08794137786603,1.8056578996594588,1.8063819265697998,0.00861726158536388
0.1,23.693657610662658,30.941046726692754,26.401201338294346,0.4967728689792591
0.2,23.763370664145974,30.15309573496224,23.686512585753743,1.255276604815617
0.3,23.330163427658242,3.3712271095194204,4.311882289433571,0.08422918635928064
0.4,20.874953685871542,0.8842828387697897,0.8849122712469191,3.0538911337624293
0.5,25.751747389474485,1.4837442846711208,1.482567705998486,0.322837233966643
0.6,0.07895887320521525,0.11599717816497443,0.11599717816500377,0.07895887320106688
0.7,0.11516644921562194,1.4183444474716826,1.4176228902795822,0.11516644921299594
0.8,0.10294718828053868,1.1287724741394007,1.1280505124113658,0.1029471882786092
0.9,37.172059078263466,1.8925756016352762,1.8932986039976434,0.031883551157315525
1.0,37.06157052952271,1.781068358568636,1.7817915375293674,0.03444836152484247
