experiment_mode,delta,filter,number_of_runs,failures,mean_ARMSE,median_ARMSE,std_ARMSE,mean_NEES,median_NEES,mean_NIS,mean_covariance_trace,mean_covariance_condition,mean_iterations_used,max_iterations_used,mean_roundtrip_relative_error,max_roundtrip_relative_error
fixed_horizon,0.1,EKF,200,0,2.725197784343375,2.0839223852700544,2.6837833933792004,2914472917008.848,1146136.9589990464,1.1827655246418413e+17,3.703649186602378e-06,264.3913729784193,nan,nan,nan,nan
fixed_horizon,0.1,IDEKF,200,0,2.8938387231896208,2.454028881473988,2.2103066976870878,1071470792731.1055,1192292.2449816894,4811521686493733.0,1.9847858368450115e-05,618.4277300533493,5.0,5,2.2312453486276898e-17,3.1320007560384884e-16
fixed_horizon,0.1,SR-EKF,200,0,2.2652703139970534,1.913527504325435,1.3004200757119315,9457951853.808443,811549.8238511641,8244622993330.6,3.354969083910703e-06,1273.4518701825705,nan,nan,nan,nan
fixed_horizon,0.2,EKF,200,0,3.529521625185191,2.8086760844251057,3.0055017206053223,3797670383808.7,4173902.6006026636,7.026240764648484e+17,4.2871175927185544e-06,1336.302835575853,nan,nan,nan,nan
fixed_horizon,0.2,IDEKF,200,0,3.823999756524813,3.136458819174803,2.972978168496105,1534265861845.0388,5297415.115302446,138588874601725.2,1.9472306523891985e-05,675.7810734518536,5.0,5,2.2753698510622916e-17,3.60305143525892e-16
fixed_horizon,0.2,SR-EKF,200,0,2.8679306871258508,2.6715354677943886,1.2471647535631478,3862173831.6607203,3755338.6734975874,59753711077761.86,3.2813765155881865e-06,1764.442030770377,nan,nan,nan,nan
fixed_horizon,0.7,EKF,200,0,4.710421635628444,3.214220182408612,11.32914962917318,127808052758681.27,15464553.951267026,66741111164283.07,5.017206727059976e-06,13.975724516462801,nan,nan,nan,nan
fixed_horizon,0.7,IDEKF,200,0,3.3141509910777347,2.7526026197491227,1.8911639834347744,2557123425.5086455,11280323.921645846,103812566648625.4,3.534738670490914e-05,92.79000001848297,5.0,5,1.508040656622737e-17,3.14789569943226e-16
fixed_horizon,0.7,SR-EKF,200,0,3.688901280901807,3.217847957110342,2.0397116031099607,6446571610.947296,28193893.517396882,66742543784636.78,3.6217823706364423e-06,1700.8803887311906,nan,nan,nan,nan
fixed_horizon,0.8,EKF,200,0,10.316487495833444,6.662971673768078,11.52248597481673,114142994536.79512,67657283.52760158,1853312041673328.0,4.112121587300106e-06,15.129948355184636,nan,nan,nan,nan
fixed_horizon,0.8,IDEKF,200,0,8.150816856251723,6.595091013182863,8.129295340514341,41659579219002.97,80913195.1166803,1673125828560270.0,9.623690703395626e-06,15923.91655208376,5.0,5,8.349353958132219e-18,2.307390892295446e-16
fixed_horizon,0.8,SR-EKF,200,0,8.155750984729888,6.21004832772242,7.864015254575316,88126223012.65717,3880417229.4314084,1865397843337524.5,1.5196374605574533e-06,1619.972518883868,nan,nan,nan,nan
fixed_updates,0.1,EKF,200,0,1.073664741403073,1.0378097687712975,0.2913817013305326,1890059.8375531626,813292.7259259244,93011.80524539661,1.8897043408587819e-06,2.427335619208311,nan,nan,nan,nan
fixed_updates,0.1,IDEKF,200,0,1.0649842774668776,1.0229357633098233,0.34135755706087045,1209934.7296570695,441726.20347199857,39214.40877131632,1.4269212094982488e-05,20.581991363031356,5.0,5,1.959503187473242e-17,2.1387022158796386e-16
fixed_updates,0.1,SR-EKF,200,0,1.073664741406982,1.0378097687646899,0.29138170132827595,1890059.8375747574,813292.72592192,93011.80524664774,1.8897043408332064e-06,2.4273356192175806,nan,nan,nan,nan
fixed_updates,0.2,EKF,200,0,2.6153337657882463,2.077762572488476,2.6704456321578687,1834600730.6918037,2120101.822705834,46819272457136.85,3.2069337863660327e-06,102.95190314184994,nan,nan,nan,nan
fixed_updates,0.2,IDEKF,200,0,6.432720493456381,2.7744230695601866,48.158534289312506,2272231167861482.0,2259432.252197449,190325953010457.38,1.8258081480640493e-05,201191922.0430987,5.0,5,2.3424773368452275e-17,2.1181094175997273e-16
fixed_updates,0.2,SR-EKF,200,0,2.484271817871538,2.1503372017626967,2.3757546525497992,1993814607.2556994,2183408.1931141075,46920378448584.39,2.814580641614885e-06,894.3127281561386,nan,nan,nan,nan
fixed_updates,0.7,EKF,200,0,5.257511155163354,4.143740871012355,3.809391695744325,117706424281.87247,12462826.828321971,309173675210152.2,8.115253796135454e-06,17.34166049489999,nan,nan,nan,nan
fixed_updates,0.7,IDEKF,200,0,4.572579810537122,3.7639721849127925,5.4921285055548905,20276673593586.516,12766362.96291593,159402201972993.84,2.913259805212459e-05,5218.006672531867,5.0,5,2.4314842927380878e-17,3.9988260510091087e-16
fixed_updates,0.7,SR-EKF,200,0,4.046624634393441,3.724534046993086,1.8234736048707536,23092297053.636127,331074990.23487717,450554039020196.6,2.9499195134518077e-06,5053.368656305427,nan,nan,nan,nan
fixed_updates,0.8,EKF,200,0,10.142356868438908,7.782774858155448,8.631248728583255,3213217932179.0215,91339720.56526215,1444068838846210.5,4.263697594953644e-06,22.795903066367362,nan,nan,nan,nan
fixed_updates,0.8,IDEKF,200,0,7.936128329521614,6.433560137933595,5.229712543130248,7305097887182.74,78390354.28794992,645811264195751.1,1.283180099592158e-05,2543.1876669811572,5.0,5,1.314003149301612e-17,2.6664401082491707e-16
fixed_updates,0.8,SR-EKF,200,0,8.188433066930667,5.912250699678456,6.7391728215951945,123164650721.62648,5135310067.04801,1513347666212679.8,1.3265644519268089e-06,3033.9636532977315,nan,nan,nan,nan
