experiment_mode,seed,delta,filter,failed,failure_message,number_of_updates,final_time,armse_post_update,mean_nees,median_nees,mean_nis,median_nis,mean_covariance_trace,median_covariance_trace,mean_covariance_condition,median_covariance_condition,mean_iterations_used,max_iterations_used,mean_roundtrip_relative_error,max_roundtrip_relative_error,measurement_model,state_dimension,measurement_dimension
fixed_horizon,1001,0.1,EKF,0,,20,2.0,1.9609934587903022,804570146584.3881,952598.656267885,1425088.774134495,29745.875208329908,2.0087584581021666e-06,1.93961808848151e-06,15.785475466889142,5.22706458090782,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_horizon,1001,0.1,SR-EKF,0,,20,2.0,1.8642719866804855,3522092084.2493963,513993.54629867815,1410090.8741043382,29745.875698933763,2.726785701200413e-06,2.1572236441803097e-06,805.9074537124231,23.586969767296374,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_horizon,1001,0.1,IDEKF,0,,20,2.0,1.9870975512220976,5643012.852864383,1040443.0565397857,3996826182844.7266,15921.183304797192,2.7618193116660347e-05,1.1351213903059594e-05,123.89123555353271,9.265295163959637,5.0,5,3.6374125420581324e-17,2.0715485159283583e-16,nonlin_cubic,2,2
fixed_horizon,1002,0.1,EKF,0,,20,2.0,3.2895243116074693,2110060267.7497306,1174341.6192694446,4690747.107269021,85646.68797076357,2.2350252906395842e-06,1.893382983838194e-06,13.020377263753076,3.085215965569823,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_horizon,1002,0.1,SR-EKF,0,,20,2.0,3.2893025719781304,913104876.466408,1174341.6191910552,4690637.717773037,85646.68796749554,2.2415706022835864e-06,1.8933829838804183e-06,1413.1716381463466,3.085215965566821,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_horizon,1002,0.1,IDEKF,0,,20,2.0,1.5999305366479712,1871113.2718987917,1104145.587473529,447179950299.95215,35553.876276055715,2.468549414062789e-05,1.1271504282559762e-05,108.14091964989288,10.7340049728097,5.0,5,5.2316254810705675e-18,7.707105656084358e-17,nonlin_cubic,2,2
fixed_horizon,1003,0.1,EKF,0,,20,2.0,2.486070854334432,5334253.037282944,437993.40862503194,16014702828327.172,70415.69551945842,3.5431924446890168e-06,2.464053562322215e-06,5.8250828267995,4.119140506533935,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_horizon,1003,0.1,SR-EKF,0,,20,2.0,2.3132718199015025,591191151.5449333,348743.6224695308,16001859579714.012,34930.739715258605,3.6180021680223017e-06,2.7789776459622363e-06,639.1561741150568,4.634925563799882,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_horizon,1003,0.1,IDEKF,0,,20,2.0,1.3365243106820126,2496044174.4751053,512746.3931888286,137875.2279082618,14499.51548524713,1.1177327727128746e-05,2.94948470779636e-06,666.5738453962865,32.32682056575511,5.0,5,5.427549820038326e-18,7.609522701946014e-17,nonlin_cubic,2,2
fixed_horizon,1004,0.1,EKF,0,,20,2.0,1.356703377505578,134779960771.84856,1034631.2920645368,989979540780.5569,64686.16153460348,3.5525905440713342e-06,2.9008044720867086e-06,10.71949498279591,2.791292043131819,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_horizon,1004,0.1,SR-EKF,0,,20,2.0,1.1126329276162155,67073475.58412538,349802.59171270055,183147041078.33493,35025.67269898977,3.2616872280729785e-06,2.54126692019219e-06,1411.1198279177088,14.24360678354464,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_horizon,1004,0.1,IDEKF,0,,20,2.0,1.9284869269196472,2833159.045004296,895258.4969809172,1440577993555.0935,31325.33999371737,8.811251080203362e-06,4.046733929433534e-06,42.45316826971794,8.618351643422637,5.0,5,9.826283563221975e-18,9.249567789302277e-17,nonlin_cubic,2,2
fixed_horizon,1005,0.1,EKF,0,,20,2.0,2.81150979632574,220394036043.39313,5299717.112191004,1544935731759.6187,37906.69718850337,4.225573853437112e-06,1.8856988944876682e-06,13.630862696578841,2.9416270927624026,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_horizon,1005,0.1,SR-EKF,0,,20,2.0,2.2889674546163916,81755883.16368134,1057876.877388914,56794819778.56726,42350.74460311963,3.0167552523229927e-06,2.038174923549987e-06,1394.4893184528987,9.983976787099868,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_horizon,1005,0.1,IDEKF,0,,20,2.0,2.6218681829852435,840625696.816076,12317633.162451953,164865407416.9848,20347.4284829382,1.7520146207306924e-05,7.81230625708619e-06,21.826401534727808,6.290147621882185,5.0,5,2.176935243783636e-17,2.0039002871557922e-16,nonlin_cubic,2,2
fixed_horizon,1006,0.1,EKF,0,,20,2.0,3.0604756254123786,1040329546722.7842,16976764.996635273,65572042106126.95,215186.0808223199,6.678048456216573e-07,9.7845346969644e-07,5.904443447689248,2.899246451924401,nan,nan,nan,nan,nonlin_cubic,2,2
