experiment_mode,delta,seed,EKF_ARMSE,SR_EKF_ARMSE,IDEKF_ARMSE,EKF_minus_IDEKF,SR_EKF_minus_IDEKF,IDEKF_beats_EKF,IDEKF_beats_SR_EKF
fixed_horizon,0.1,1001,1.9609934587903022,1.8642719866804855,1.9870975512220976,-0.026104092431795456,-0.12282556454161209,0,0
fixed_horizon,0.1,1002,3.2895243116074693,3.2893025719781304,1.5999305366479712,1.689593774959498,1.6893720353301591,1,1
fixed_horizon,0.1,1003,2.486070854334432,2.3132718199015025,1.3365243106820126,1.1495465436524193,0.9767475092194899,1,1
fixed_horizon,0.1,1004,1.356703377505578,1.1126329276162155,1.9284869269196472,-0.5717835494140693,-0.8158539993034317,0,0
fixed_horizon,0.1,1005,2.81150979632574,2.2889674546163916,2.6218681829852435,0.18964161334049656,-0.3329007283688519,1,0
fixed_horizon,0.1,1006,3.0604756254123786,2.101037890085215,2.815817053126517,0.24465857228586163,-0.7147791630413018,1,0
fixed_horizon,0.1,1007,1.2084222770231472,1.250308536421296,1.516461074107056,-0.3080387970839089,-0.2661525376857601,0,0
fixed_horizon,0.1,1008,1.9825615076133183,1.0437232393633133,1.3470116370802079,0.6355498705331104,-0.30328839771689453,1,0
fixed_horizon,0.1,1009,2.077205088748078,1.8768657738006416,2.772211803836567,-0.6950067150884891,-0.8953460300359255,0,0
fixed_horizon,0.1,1010,1.4430032244392716,2.697141759433152,22.262936620164353,-20.81993339572508,-19.565794860731202,0,0
fixed_horizon,0.1,1011,3.3318473354721583,3.3318473359645053,5.10558561284706,-1.7737382773749015,-1.7737382768825545,0,0
fixed_horizon,0.1,1012,5.437677647729783,5.4371177084204865,3.6362646876456006,1.801412960084182,1.8008530207748858,1,1
fixed_horizon,0.1,1013,1.889806872743701,1.9124515858729405,4.1073931900381515,-2.2175863172944505,-2.1949416041652112,0,0
fixed_horizon,0.1,1014,1.398673752149771,1.40995903576749,1.6286630029818485,-0.22998925083207755,-0.21870396721435847,0,0
fixed_horizon,0.1,1015,2.4787324709472083,2.2896450348790047,2.4677555877759954,0.010976883171212926,-0.17811055289699063,1,0
fixed_horizon,0.1,1016,1.6047482279688783,1.5290187061279905,1.7699355954647407,-0.16518736749586238,-0.24091688933675015,0,0
fixed_horizon,0.1,1017,2.3097769439402063,0.977967448698798,2.1760825219465443,0.133694421993662,-1.1981150732477461,1,0
fixed_horizon,0.1,1018,2.45750422596315,1.1662998011457373,2.735890984262489,-0.2783867582993387,-1.5695911831167515,0,0
fixed_horizon,0.1,1019,2.856313837141831,1.8027826205729038,2.366851294900786,0.489462542241045,-0.5640686743278822,1,0
fixed_horizon,0.1,1020,1.9063905119104554,1.7275987710572018,2.007720914163257,-0.10133040225280165,-0.2801221431060552,0,0
fixed_horizon,0.1,1021,1.8118248083672088,10.101851870852897,2.0539708580075264,-0.2421460496403176,8.047881012845371,0,1
fixed_horizon,0.1,1022,6.0828205608121415,2.627594980576729,3.5587439967092105,2.524076564102931,-0.9311490161324816,1,0
fixed_horizon,0.1,1023,3.2213480074762106,4.269050116021369,1.3564420735471454,1.8649059339290652,2.912608042474224,1,1
fixed_horizon,0.1,1024,3.193883181101659,2.821122920177079,3.3167621916597514,-0.12287901055809236,-0.4956392714826725,0,0
fixed_horizon,0.1,1025,2.944783248033797,2.023349469192492,1.2689868676336917,1.6757963804001055,0.7543626015588003,1,1
fixed_horizon,0.1,1026,1.6475206431437353,1.5212801436708794,1.6462710821000515,0.001249561043683789,-0.12499093842917208,1,0
fixed_horizon,0.1,1027,6.847930269725758,6.847930269765482,2.584545063735691,4.263385205990067,4.263385206029791,1,1
fixed_horizon,0.1,1028,1.6073577086805517,2.296621560597242,4.11716843893162,-2.5098107302510684,-1.8205468783343783,0,0
fixed_horizon,0.1,1029,2.5395681706732316,2.469974617208941,2.4934990242621664,0.04606914641106519,-0.02352440705322545,1,0
fixed_horizon,0.1,1030,4.2434912106568765,1.7067855412555575,2.76862809750354,1.4748631131533365,-1.0618425562479825,1,0
fixed_horizon,0.1,1031,1.814100741635783,1.352835523091311,2.798766438957405,-0.9846656973216221,-1.4459309158660942,0,0
fixed_horizon,0.1,1032,1.6054688647152169,2.136181537038185,2.479721475186982,-0.874252610471765,-0.3435399381487967,0,0
fixed_horizon,0.1,1033,3.581629990354255,3.535157154727437,4.076846938890824,-0.4952169485365694,-0.5416897841633874,0,0
fixed_horizon,0.1,1034,1.58919573924324,1.7082319619179702,2.8626791328907046,-1.2734833936474645,-1.1544471709727344,0,0
fixed_horizon,0.1,1035,2.1960609250786516,2.427741332658988,3.423222509569576,-1.2271615844909243,-0.9954811769105878,0,0
fixed_horizon,0.1,1036,2.5028974077115036,1.107583483220616,2.393023318734576,0.10987408897692763,-1.28543983551396,1,0
fixed_horizon,0.1,1037,1.9897410231514834,2.345935238428731,2.0970056303495137,-0.10726460719803033,0.24892960807921716,0,1
fixed_horizon,0.1,1038,2.0401812867834255,1.9259108129749314,1.7750052580052431,0.26517602877818236,0.15090555496968827,1,1
fixed_horizon,0.1,1039,2.1809028508954316,3.4946844130987,5.46748309833467,-3.2865802474392383,-1.9727986852359698,0,0
