split,delta,filter,runs,failures,mean_ARMSE,median_ARMSE,ARMSE_90,ARMSE_95,mean_predicted_ARMSE,mean_posterior_NEES,median_posterior_NEES,mean_predicted_NEES,mean_NIS,strong_direction_RMSE,weak_direction_RMSE,mean_strong_variance,mean_weak_variance,mean_trace_contraction,mean_whitened_H_condition,mean_information_condition,mean_correction_norm
tuning,0.1,ID_baseline,30,0,2.0167605589252493,2.073943690286669,2.673320118100773,2.849769887491145,2.3764800715632703,101462346493.18356,78017.24577472289,101443766394.23184,305809.22847404546,1.1606801007329481,1.6145821196910155,3.7930089370474425e-05,2.085201982964391e-05,0.8390861088554432,83177.06806848898,113203017713.00087,0.30688348985639163
tuning,0.1,ID_p10_r0.5_w0_post1,30,0,4.54895630305084,3.302611566899415,6.698905170825507,7.90776225293259,4.649304650723749,12500090799212.13,31610.091143095582,454334648606.9916,662654.1864293197,3.089256694949935,3.1529688742363136,0.0001390251541680681,0.00011237485029279928,2.554093843913431,808584.5196253344,19270750505040.695,1.6551972305029325
tuning,0.1,ID_p10_r0.5_w0_post3,30,0,3.469289114808768,3.0869107932175233,5.63005862363781,6.046949979128824,3.1504493144250625,11830855022.13131,7015.002975406944,354617133269.3332,544473.6885973475,2.3886871721638747,2.363187491627228,0.0004515268882679467,0.00035887081030526664,4.717885555977079,135494.305912509,125693626435.45491,1.5939310386505974
tuning,0.1,ID_p10_r0.5_w10_post1,30,0,598742.796449526,614997.4512945445,798722.5680535181,830017.0153149543,578816.5447731387,25598059102846.59,2489262147.9678707,342201982424894.25,2465862506322.99,32.73432049268442,598742.7869883018,3.150799120497333e-05,3624.4097514956015,9.36500761535085,68971218.09699331,5637247226204037.0,237004.1804126547
tuning,0.1,ID_p10_r0.5_w10_post3,30,0,206452.2442877978,195102.78771933986,273505.4423957048,280878.9606194957,202848.39808047217,7721508808433.746,1751263123.9939637,47379768869520.27,756581894350.7339,31.154726605471204,206452.24154072534,8.856447996390387e-05,12103.647630035599,21.07287022185894,66051115.147338115,3115095661785943.0,113031.93132959197
tuning,0.1,ID_p10_r0.5_w1_post1,30,0,1612186.0619642825,1433450.6369052404,3438174.7046898236,4427238.125596069,1554013.3995866354,142998535555085.94,2495744.794391947,477648705533749.56,14761513757957.205,20.986093418705902,1612185.4047650702,9.443529507975773e-05,1593.101295958889,2.9553629524698066,38382297.8849376,3757514720216590.5,640070.6172247053
tuning,0.1,ID_p10_r0.5_w1_post3,30,0,557521.4097191965,474396.04152282106,908429.5284471196,1214255.9028415175,547072.0684652707,9021697938197.893,76084917.708064,46959603741059.65,883980801766.7675,25.137635113022544,557521.3701640237,0.00017801730092447077,7914.155243282728,6.48683168688006,44068606.54642895,1.1323419839031892e+16,247155.78848062467
tuning,0.1,ID_p10_r1_w0_post1,30,0,5.114473903127714,3.155991530823248,5.947497742773353,6.553146675328397,5.537125975430876,45988898912326.9,19132.44725057821,430903129339.9813,675569.3519527254,3.5297921626040507,3.528353896482123,0.0002689742303939436,0.0001375346131923605,2.7109502814291813,2653388.65991206,87088754780461.05,1.6085086946007339
tuning,0.1,ID_p10_r1_w0_post3,30,0,3.507842145998862,3.2142085985293356,5.333787211310508,5.9992672277120125,3.065193516397273,10606711901.550507,5148.830725263319,318068216942.482,539444.185775906,2.4645397070019204,2.351867706962034,0.0008969363308714778,0.00043878030863624015,4.865139306771626,128346.42339838178,107684557623.00896,1.5796033415236332
tuning,0.1,ID_p10_r1_w10_post1,30,0,662556.7546088526,768019.9584118552,849773.3962118975,888402.1136238723,643302.5328361879,11720148760464.24,2646826988.393876,141628616470286.8,1165802901408.5994,30.266484028547918,662556.7341729195,6.977555662449476e-05,7493.957476655428,7.478726085602,62958568.75289205,4776044992255677.0,285908.4502777547
