split,delta,candidate,paired_runs,mean_SR_minus_candidate,median_SR_minus_candidate,bootstrap_95_low,bootstrap_95_high,candidate_win_rate,sign_flip_p,wilcoxon_p
tuning,0.1,ID_baseline,30,13.19275534821506,0.534301579342671,0.37183689243395956,38.251927797768374,0.6333333333333333,0.004949752512374382,0.017268367111682892
tuning,0.1,ID_p10_r0.5_w0_post1,30,10.660559604089473,-1.217612823974215,-2.9946801942840433,36.10341587585169,0.26666666666666666,0.4909254537273136,0.9882949283346534
tuning,0.1,ID_p10_r0.5_w0_post3,30,11.740226792331542,-1.2182031051309532,-1.2056513180927708,36.85264367435157,0.3,0.45662716864156794,0.9452839707955718
tuning,0.1,ID_p10_r0.5_w10_post1,30,-598727.5869336189,-614992.3821967136,-663942.5638347118,-523453.3817333621,0.0,1.0,1.0
tuning,0.1,ID_p10_r0.5_w10_post3,30,-206437.0347718907,-195100.62662997423,-226387.91267719888,-184577.95049498568,0.0,1.0,1.0
tuning,0.1,ID_p10_r0.5_w1_post1,30,-1612170.8524483764,-1433449.1198744145,-2205673.1970167547,-1074059.4455662796,0.06666666666666667,1.0,0.9999999767169356
tuning,0.1,ID_p10_r0.5_w1_post3,30,-557506.2002032894,-474393.88851218973,-742182.1614546381,-403169.8590722021,0.0,1.0,1.0
tuning,0.1,ID_p10_r1_w0_post1,30,10.095042004012596,-0.9444160733885566,-5.184479377935877,36.39700959713951,0.23333333333333334,0.48452577371131444,0.9598363190889359
tuning,0.1,ID_p10_r1_w0_post3,30,11.701673761141448,-1.2111504411266218,-1.2200577070415513,36.78596516623473,0.3,0.46772661366931656,0.9498013220727444
tuning,0.1,ID_p10_r1_w10_post1,30,-662541.5450929455,-768017.8506950154,-744291.7257668248,-567542.0339833598,0.0,1.0,1.0
tuning,0.1,ID_p10_r1_w10_post3,30,-205396.74055904767,-206188.86877221812,-218073.04995875072,-191757.21802283826,0.0,1.0,1.0
tuning,0.1,ID_p10_r1_w1_post1,30,-1663703.1723933662,-1316795.3274270918,-2297064.624449189,-1092598.0828664294,0.1,1.0,0.9999999906867743
tuning,0.1,ID_p10_r1_w1_post3,30,-423565.2324825818,-414985.1241025813,-537654.3613392739,-323535.37528145575,0.03333333333333333,1.0,0.9999999981373549
tuning,0.1,ID_p10_r2_w0_post1,30,11.818389274558006,-0.7534540074149305,-0.9166546247554278,36.662398389183174,0.3,0.4516274186290685,0.9270002543926239
tuning,0.1,ID_p10_r2_w0_post3,30,11.755557509687943,-1.1641172281111194,-1.1215949344752927,36.939930467825015,0.3,0.4623768811559422,0.9498013220727444
