split,seed,delta,filter,time_index,time,predicted_state_error_norm,posterior_state_error_norm,predicted_nees,posterior_nees,nis,strong_error,weak_error,strong_variance,weak_variance,weak_normalized_error,strong_normalized_error,whitened_H_condition,whitened_H_singular_max,whitened_H_singular_min,measurement_information_condition,predicted_trace,posterior_trace,trace_contraction_ratio,correction_norm
validation,5001,0.1,SR-EKF,1,0.1,1.7929292080807602,1.4460079352416646,260818.4344582057,269910.84495104547,2.608937340037196,0.06817644839822141,1.4443998479180435,5.110285168535522e-07,7.734161899633864e-06,269750.0967447336,9095.437853084339,151257.02188063154,1398.8645295091287,0.00924826174756422,22878736314.6945,0.10331907076158994,8.245190416487414e-06,7.98031801458348e-05,0.47001845994835906
validation,5001,0.1,SR-EKF,2,0.2,2.0175294214406,1.2489270768873708,615362.6345850033,1714263.5931083981,106030.99347460418,1.2124586672505977,-0.2996044452129127,8.591402756487872e-07,4.740828457173709e-06,18933.995271545886,1711077.9944299203,111860.92050208035,1003.5181872024077,0.008971123987699928,12512864035.532835,1.1231537866105732e-05,5.5999687328224955e-06,0.4985932291357845,0.7708596903875801
validation,5001,0.1,SR-EKF,3,0.30000000000000004,1.090615705524078,1.031399696307767,271187.1827259944,269295.14063227904,1915.4681445136491,-0.024923440526668842,1.0310985188894743,1.7232299585132792e-06,4.294892787407612e-06,247541.4889920433,360.4730086182587,78558.50416910827,665.583698267625,0.008472458905720279,6171439031.342476,1.2989058736590551e-05,6.018122745920891e-06,0.4633224676217428,0.11551162146661761
validation,5001,0.1,SR-EKF,4,0.4,1.9873070738179766,1.2290020049715906,511806.27367578895,812425.5323388276,85947.84485631538,1.166834293718407,-0.385932195115743,1.7298322609222207e-06,3.88182159370053e-06,38369.52720046785,787071.8449148821,77831.2700284517,658.1124389840435,0.008455630220905638,6057703882.991953,1.2510253346590359e-05,5.611653854622749e-06,0.4485643654972178,0.768249074477947
validation,5001,0.1,SR-EKF,5,0.5,2.032673399453943,1.229088902561701,399940.56941307185,500653.0664811012,76778.45569577307,1.1224370186084047,-0.5007940391596153,2.6346869543206505e-06,4.232105989862686e-06,59260.016232707705,478183.89151563484,63790.06148990963,512.0907464917526,0.008027751259853473,4069172986.8597565,1.5465424368210228e-05,6.866792944183337e-06,0.4440093450198685,0.8111746288287796
validation,5001,0.1,SR-EKF,6,0.6000000000000001,0.8268741180758461,0.7518406728090311,180282.89957061136,179153.41211567284,1144.2420782353972,-0.041632433269693035,0.750687110446144,4.006167657716147e-06,5.05985854161019e-06,111372.90364063215,432.6477691509166,53299.035485097724,398.52300846603237,0.007477114826542375,2840786544.57844,1.984892314772332e-05,9.066026199326335e-06,0.4567515392071137,0.11106479208268141
validation,5001,0.1,SR-EKF,7,0.7000000000000001,0.6008296283339478,0.5460791765374031,184991.3080021236,177938.4954007783,9005.651549329627,0.27457232031606815,0.472030198148401,4.469888398142339e-06,5.3456411157107134e-06,41681.157253370046,16866.183754180794,51044.68167342052,372.9718571718468,0.007306772124823672,2605559326.7340283,2.1270977444401505e-05,9.815529513853051e-06,0.4614517381492728,0.3210146436174319
validation,5001,0.1,SR-EKF,8,0.8,4.688157318187902,2.7021022349417674,992020.4499101278,744731.0819726492,4047704.6306920755,-2.0922658769892415,1.7099064266981787,5.9128549883118025e-06,6.310231347199048e-06,463339.5872817763,740349.0375912999,46300.21223288314,316.1816032509256,0.006828945009162797,2143709916.8410494,2.575701385959749e-05,1.2223086335510848e-05,0.4745537041731382,7.387949113008542
validation,5001,0.1,SR-EKF,9,0.9,1.3090278501140584,0.8183799213680919,107752.37020506483,97609.71827385544,22867.15758606338,-0.5659415380607526,0.5911479266612327,4.041811864430768e-06,4.047782057855678e-06,86332.6795269702,79244.12002478958,51189.27856799526,374.6308495259994,0.007318541304081347,2620341634.1718116,1.8639085543119414e-05,8.089593922286443e-06,0.4340123823978426,0.49073635430845697
validation,5001,0.1,SR-EKF,10,1.0,0.20845478663336833,0.11271042035871444,17984.285188820257,17170.02931344485,826.0792317260876,-0.06464778583589166,0.09232715009115573,4.7379037199597184e-06,4.7407391133256445e-06,1798.0957062146733,882.1066151844146,48196.75534851319,339.5459819112101,0.0070449966902530236,2322927314.0122967,2.0831208260269938e-05,9.478642833285363e-06,0.4550212697629924,0.09655786949946213
validation,5001,0.1,SR-EKF,11,1.1,0.021536838224099783,0.023023391169196158,15893.24440254532,15881.334067129572,12.700619410788397,0.008757360774694405,0.021292843238789494,5.663183494022484e-06,5.6601920104323655e-06,80.10067014617596,13.542094798641836,45350.245223021135,303.970053026694,0.00670272126494235,2056644438.9446185,2.3689690121827746e-05,1.132337550445485e-05,0.47798748933492635,0.012173908835016511
